Hostname,Crid,Asset,Price,Role,Product,Owner
cshdp8,72729,AS-10029,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp79,79782,AS-10404,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp78,79778,AS-08083,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp77,79774,AS-08069,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp76,79770,AS-09412,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp75,79766,AS-07582,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp74,79762,AS-07606,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp73,79758,AS-07578,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp72,79754,AS-11770,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp71,79750,AS-10152,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp70,79746,AS-11209,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp7,72725,AS-09609,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp69,79742,AS-10215,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp68,79738,AS-10037,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp67,79734,AS-11769,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp66,79730,AS-09417,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp65,79726,AS-10093,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp64,79722,AS-10187,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp63,79718,AS-10213,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp62,79714,AS-08825,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp61,79710,AS-10186,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp60,79706,AS-08823,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp6,72721,AS-09534,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp59,79702,AS-08824,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp58,79698,AS-10185,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp57,79694,AS-09416,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp56,79690,AS-08451,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp55,79686,AS-10212,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp54,79682,AS-10153,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp53,79678,AS-10184,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp52,79674,AS-08822,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp51,79670,AS-09418,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp50,76476,AS-10426,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp5,72717,AS-09611,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp49,76472,AS-10412,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp48,76468,AS-10434,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp47,76464,AS-10410,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp46,76460,AS-10420,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp45,76456,AS-10424,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp44,76452,AS-10416,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp43,76448,AS-10423,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp42,76444,AS-10414,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp41,76440,AS-10418,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp40,76436,AS-10432,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp4,72713,AS-10030,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp39,76432,AS-10433,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp38,76428,AS-10428,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp37,76424,AS-10427,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp36,76420,AS-10425,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp35,76416,AS-10411,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp34,76412,AS-10431,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp33,76408,AS-10419,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp32,76404,AS-10421,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp31,76399,AS-10422,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp30,76395,AS-10429,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp3,72709,AS-09527,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp29,76391,AS-10413,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp28,76387,AS-10430,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp27,76383,AS-10415,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp26,76379,AS-10417,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp25,72797,AS-09339,$280.00,HadoopDataNode,Hadoop,HadoopTeam
